조사회차,단과대학명,학과명,졸업자_남,졸업자_여,건보가입취업자_남,건보가입취업자_여,교내취업자_남,교내취업자_여,해외취업자_남,해외취업자_여,농림어업종사자_남,농림어업종사자_여,개인창작활동종사자_남,개인창작활동종사자_여,1인창사업자_남,1인창사업자_여,프리랜서_남,프리랜서_여,진학자_남,진학자_여,입대자,취업불가능자_남,취업불가능자_여,외국인유학생_남,외국인유학생_여,제외인정자_남,제외인정자_여,기타_남,기타_여,미상_남,미상_여,입학당시기취업자_남,입학당시기취업자_여,국내진학자_전문대학_남,국내진학자_전문대학_여,국내진학자_대학_남,국내진학자_대학_여,국내진학자_대학원_남,국내진학자_대학원_여,국외진학자_전문대학_남,국외진학자_전문대학_여,국외진학자_대학_남,국외진학자_대학_여,국외진학자_대학원_남,국외진학자_대학원_여
2024-12-31,단과대구분없음,식물생산과학부,4,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-31,단과대구분없음,화학생물공학부,45,16,30,10,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,9,4,0,0,6,3,0,0,0,0,1,1,0,0,0,0,0,0
2024-12-31,단과대구분없음,화학부,29,21,13,11,2,1,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0
2024-12-31,단과대구분없음,농림기상학전공협동과정,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-31,단과대구분없음,환경보건학과,63,50,31,31,2,1,0,0,0,0,0,0,3,1,4,1,6,3,4,0,0,0,0,0,0,13,13,0,0,7,8,0,0,5,1,1,2,0,0,0,0,0,0
2024-12-31,단과대구분없음,국제학과(국제통상전공),6,28,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,17,0,0,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0
2024-12-31,공과대학,신소재공학과,826,379,397,152,9,4,4,3,0,0,0,0,3,1,14,16,163,100,9,0,0,10,2,0,0,215,99,2,2,19,11,0,0,0,1,162,99,0,0,0,0,1,0
2024-12-31,인문예술대학,아시아어문학부(중어중문학전공),0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-31,생명산업과학대학,산림자원·조경학부(조경학전공),9,9,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-31,생명산업과학대학,식물의학과,12,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0
2024-12-31,단과대구분없음,사회교육전공,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-31,단과대구분없음,멀티미디어공학전공,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-31,사범대학,전자공학교육과,14,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-31,사회과학대학,경영학전공,13,14,5,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-31,인문예술대학,미술학과,5,17,2,7,0,0,0,0,0,0,1,4,0,3,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2024-12-31,단과대구분없음,바이오ICT융합공학과,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-31,단과대구분없음,생약자원학과,4,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2024-12-31,단과대구분없음,문화관광학과,1,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-31,공과대학,소프트웨어공학과,60,21,33,8,0,0,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,3,1,0,0,18,10,0,0,5,1,0,0,0,0,5,2,0,0,0,0,0,0
2024-12-31,공과대학,화학공학부,178,115,92,50,0,0,0,0,0,0,0,0,0,3,2,4,38,24,0,0,0,0,1,0,0,46,33,0,0,1,0,0,0,0,0,38,24,0,0,0,0,0,0
2024-12-31,농업생명과학대학,조경학과,19,39,10,19,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,2,3,0,0,3,7,3,7,0,0,0,0,0,0,1,2,0,0,0,0,0,0
2024-12-31,농업생명과학대학,바이오에너지공학과,15,10,4,0,1,0,0,0,0,0,0,0,0,0,1,0,6,4,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0
2024-12-31,농업생명과학대학,원예생명공학과,14,13,5,6,0,0,0,0,1,1,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,5,4,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0
2024-12-31,농업생명과학대학,응용생물학과,24,22,7,9,0,0,0,0,0,0,0,0,1,1,1,0,3,3,1,0,0,0,0,0,0,11,9,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0
2024-12-31,예술대학,국악학과,4,24,2,13,0,0,0,0,0,0,0,2,0,0,0,2,1,3,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0
2024-12-31,자연과학대학,시스템생명공학전공,14,11,4,3,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,1,6,2,0,0,0,0,0,0
2024-12-31,단과대구분없음,시스템생명공학전공,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-31,공학대학,화공생명공학과,8,9,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2024-12-31,문화사회과학대학,경상학부,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-31,단과대구분없음,문화학과,1,8,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-31,단과대구분없음,NGO협동과정,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-31,단과대구분없음,분자의과학협동과정,3,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-31,단과대구분없음,융합식품바이오공학과,19,21,11,13,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,1,0,0,1,4,0,1,1,4,0,0,0,0,1,1,0,0,0,0,0,0
2024-12-31,단과대구분없음,동물공학과,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-31,단과대구분없음,사회문화복지정책전공,8,9,5,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-31,단과대구분없음,문화예술기획전공,1,5,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-31,공과대학,토목/환경/자원·에너지공학부(자원·에너지공학전공),20,12,7,5,0,0,0,0,0,0,0,0,0,0,1,0,7,3,1,0,0,0,0,0,0,4,4,0,0,1,0,0,0,0,0,7,3,0,0,0,0,0,0
2024-12-31,공과대학,고분자섬유나노공학부(유기소재섬유공학전공),9,21,2,9,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0
2024-12-31,공과대학,신소재공학부 정보소재공학전공,20,13,10,7,0,1,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,3,2,0,0,0,0,0,0
